iter	Passed	Remaining
602	4768	3139
603	4770	3127
604	4772	3115
605	4776	3105
606	4779	3094
607	4782	3083
608	4784	3071
609	4788	3061
610	4792	3051
611	4795	3040
612	4796	3028
613	4798	3016
614	4799	3004
615	4801	2992
616	4802	2981
617	4803	2969
618	4805	2957
619	4806	2946
620	4808	2934
621	4809	2922
622	4811	2911
623	4812	2899
624	4814	2888
625	4815	2876
626	4816	2865
627	4818	2854
628	4819	2842
629	4820	2831
630	4822	2819
631	4823	2808
632	4824	2797
633	4826	2786
634	4827	2774
635	4828	2763
636	4830	2752
637	4831	2741
638	4832	2730
639	4834	2719
640	4835	2708
641	4836	2697
642	4838	2686
643	4841	2676
644	4845	2667
645	4847	2656
646	4850	2646
647	4851	2635
648	4852	2624
649	4854	2613
650	4855	2603
651	4856	2592
652	4858	2581
653	4859	2570
654	4860	2560
655	4862	2549
656	4863	2539
657	4865	2528
658	4866	2518
659	4868	2507
660	4869	2497
661	4870	2486
662	4872	2476
663	4873	2466
664	4874	2455
665	4876	2445
666	4877	2435
667	4878	2424
668	4880	2414
669	4881	2404
670	4882	2394
671	4884	2384
672	4885	2373
673	4887	2363
674	4888	2353
675	4889	2343
676	4891	2333
677	4892	2323
678	4894	2313
679	4895	2303
680	4896	2293
681	4898	2283
682	4899	2273
683	4900	2264
684	4902	2254
685	4903	2244
686	4905	2234
687	4906	2224
688	4907	2215
689	4909	2205
690	4910	2195
691	4911	2186
692	4912	2176
693	4914	2166
694	4915	2157
695	4916	2147
696	4918	2137
697	4919	2128
698	4920	2118
699	4921	2109
700	4923	2099
701	4924	2090
702	4925	2081
703	4927	2071
704	4928	2062
705	4929	2052
706	4930	2043
707	4932	2034
708	4933	2024
709	4934	2015
710	4936	2006
711	4937	1997
712	4938	1987
713	4940	1978
714	4941	1969
715	4942	1960
716	4943	1951
717	4945	1942
718	4946	1933
719	4947	1924
720	4949	1915
721	4950	1906
722	4951	1897
723	4952	1888
724	4954	1879
725	4955	1870
726	4956	1861
727	4958	1852
728	4959	1843
729	4960	1834
730	4961	1825
731	4963	1817
732	4964	1808
733	4965	1799
734	4967	1790
735	4968	1782
736	4969	1773
737	4970	1764
738	4972	1756
739	4973	1747
740	4974	1738
741	4975	1730
742	4977	1721
743	4978	1713
744	4979	1704
745	4981	1695
746	4982	1687
747	4983	1679
748	4985	1670
749	4986	1662
750	4987	1653
751	4988	1645
752	4990	1636
753	4991	1628
754	4992	1620
755	4993	1611
756	4995	1603
757	4996	1595
758	4997	1586
759	4998	1578
760	5000	1570
761	5001	1562
762	5002	1553
763	5003	1545
764	5005	1537
765	5006	1529
766	5007	1521
767	5008	1513
768	5010	1504
769	5011	1496
770	5012	1488
771	5013	1480
772	5014	1472
773	5016	1464
774	5017	1456
775	5018	1448
776	5019	1440
777	5021	1432
778	5022	1424
779	5023	1416
780	5024	1409
781	5026	1401
782	5027	1393
783	5028	1385
784	5029	1377
785	5030	1369
786	5032	1361
787	5033	1354
788	5034	1346
789	5035	1338
790	5037	1330
791	5038	1323
792	5039	1315
793	5040	1307
794	5041	1300
795	5043	1292
796	5044	1284
797	5045	1277
798	5046	1269
799	5047	1261
800	5048	1254
801	5049	1246
802	5050	1239
803	5052	1231
804	5053	1224
805	5054	1216
806	5055	1209
807	5056	1201
808	5058	1194
809	5059	1186
810	5060	1179
811	5061	1171
812	5062	1164
813	5064	1157
814	5065	1149
815	5066	1142
816	5067	1135
817	5068	1127
818	5069	1120
819	5070	1113
820	5072	1105
821	5073	1098
822	5074	1091
823	5075	1084
824	5076	1076
825	5077	1069
826	5079	1062
827	5080	1055
828	5081	1048
829	5082	1040
830	5083	1033
831	5084	1026
832	5086	1019
833	5087	1012
834	5089	1005
835	5091	998
836	5092	991
837	5093	984
838	5094	977
839	5096	970
840	5097	963
841	5098	956
842	5099	949
843	5101	942
844	5102	935
845	5103	929
846	5104	922
847	5105	915
848	5106	908
849	5108	901
850	5109	894
851	5110	887
852	5111	880
853	5112	874
854	5113	867
855	5114	860
856	5116	853
857	5117	846
858	5118	840
859	5119	833
860	5120	826
861	5122	820
862	5123	813
863	5126	806
864	5128	800
865	5130	793
866	5132	787
867	5133	780
868	5134	774
869	5135	767
870	5137	760
871	5138	754
872	5139	747
873	5140	741
874	5142	734
875	5143	728
876	5144	721
877	5145	715
878	5147	708
879	5148	702
880	5149	695
881	5150	689
882	5152	682
883	5153	676
884	5154	669
885	5155	663
886	5157	656
887	5158	650
888	5159	644
889	5160	637
890	5161	631
891	5162	625
892	5163	618
893	5164	612
894	5165	606
895	5167	599
896	5168	593
897	5169	587
898	5170	580
899	5171	574
900	5172	568
901	5173	562
902	5174	555
903	5175	549
904	5177	543
905	5178	537
906	5179	531
907	5180	524
908	5181	518
909	5182	512
910	5183	506
911	5184	500
912	5185	494
913	5187	488
914	5188	481
915	5189	475
916	5190	469
917	5191	463
918	5192	457
919	5193	451
920	5195	445
921	5196	439
922	5197	433
923	5198	427
924	5199	421
925	5200	415
926	5202	409
927	5203	403
928	5204	397
929	5205	391
930	5207	385
931	5208	380
932	5209	374
933	5210	368
934	5212	362
935	5213	356
936	5214	350
937	5215	344
938	5216	338
939	5218	333
940	5219	327
941	5220	321
942	5221	315
943	5222	309
944	5223	304
945	5224	298
946	5226	292
947	5227	286
948	5228	280
949	5229	275
950	5230	269
951	5231	263
952	5232	258
953	5234	252
954	5235	246
955	5236	241
956	5237	235
957	5238	229
958	5239	224
959	5240	218
960	5242	212
961	5243	207
962	5244	201
963	5245	195
964	5246	190
965	5247	184
966	5248	179
967	5250	173
968	5251	167
969	5252	162
970	5253	156
971	5254	151
972	5256	145
973	5257	140
974	5258	134
975	5260	129
976	5261	123
977	5262	118
978	5263	112
979	5264	107
980	5265	101
981	5266	96
982	5268	91
983	5269	85
984	5270	80
985	5271	74
986	5272	69
987	5273	64
988	5274	58
989	5275	53
990	5276	47
991	5278	42
992	5279	37
993	5280	31
994	5281	26
995	5282	21
996	5283	15
997	5284	10
998	5286	5
999	5287	0
	4888	84
983	4889	79
984	4891	74
985	4892	69
986	4894	64
987	4895	59
988	4897	54
989	4898	49
990	4899	44
991	4901	39
992	4902	34
993	4904	29
994	4905	24
995	4907	19
996	4909	14
997	4911	9
998	4912	4
999	4914	0
